"SalesID","OrderDate","ProductName","ProductCategory","SubCategory","PackSize","Quantity","UnitPrice","TotalRevenue","Profit","CustomerName","City_Cust","State_Cust","StoreName","City_Store","State_Store","Region","SalesChannel"
"S0001","1/5/2023","Aloo Bhujia","Snacks","Spicy","200g","2","80","160","50","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0002","1/6/2023","Chana Dal","Snacks","Spicy","200g","3","75","225","60","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0003","1/7/2023","Plain Ladoo","Sweets","Sweet","200g","1","90","90","35","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0004","1/8/2023","Gulab Jamun","Sweets","Sweet","500g","2","140","280","80","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0005","1/9/2023","Masala Peanuts","Snacks","Spicy","200g","4","110","440","160","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0006","1/10/2023","Aloo Bhujia","Snacks","Spicy","200g","1","80","80","25","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0007","1/11/2023","Rasgulla","Sweets","Sweet","500g","3","180","540","150","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0008","1/12/2023","Chana Dal","Snacks","Spicy","200g","2","75","150","40","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0009","1/13/2023","Aloo Bhujia","Snacks","Spicy","200g","5","80","400","125","Meena Iyer","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0010","1/14/2023","Masala Peanuts","Snacks","Spicy","200g","2","110","220","80","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0011","1/15/2023","Plain Ladoo","Sweets","Sweet","200g","3","90","270","105","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0012","1/16/2023","Gulab Jamun","Sweets","Sweet","500g","1","140","140","40","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0013","1/17/2023","Aloo Bhujia","Snacks","Spicy","200g","4","80","320","100","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0014","1/18/2023","Rasgulla","Sweets","Sweet","500g","2","180","360","100","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0015","1/19/2023","Chana Dal","Snacks","Spicy","200g","1","75","75","20","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0016","1/20/2023","Masala Peanuts","Snacks","Spicy","200g","3","110","330","120","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0017","1/21/2023","Aloo Bhujia","Snacks","Spicy","200g","2","80","160","50","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0018","1/22/2023","Plain Ladoo","Sweets","Sweet","200g","4","90","360","140","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0019","1/23/2023","Gulab Jamun","Sweets","Sweet","500g","3","140","420","120","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0020","1/24/2023","Rasgulla","Sweets","Sweet","500g","1","180","180","50","Meena Iyer","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0021","1/25/2023","Chana Dal","Snacks","Spicy","200g","2","75","150","40","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0022","1/26/2023","Aloo Bhujia","Snacks","Spicy","200g","3","80","240","75","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
